Name,City,Phone Number,Google Star Rating,Website
Xu's Public House 徐公館,New York,(212) 901-9971,4.2,https://www.xupublic.com/
Ribalta,Lisboa,933 221 019,4.1,
Gotham Restaurant,New York,(212) 380-8660,4.5,http://gotham.restaurant/
CICCIO Bar & Alimentari,New York,(646) 476-9498,4.6,http://www.ciccionyc.com/
Leon's Bagels,New York,(917) 388-3372,4.3,http://www.leonsbagels.com/
Oven Lisboa,Lisboa,21 827 3826,4.8,http://www.ovenlisboa.com/
Le Bernardin Privé,New York,(212) 554-1119,4.3,http://www.le-bernardinprive.com/
Moy Charcutaria&Garrafeira,Lisboa,21 346 7011,4.6,
BACARO,Lisboa,,4.7,
Izcalli Antojeria,Lisboa,,4.7,http://www.izcalli.pt/
MISTU,Porto,926 682 620,4.7,http://mistu.pt/
Le Refuge de Solaise,Val-d'Isère,04 58 83 00 90,4.4,https://lerefuge-valdisere.com/?utm_source=Yext&utm_medium=GMB&y_source=1_MjU3NjI1MzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Arctic Juice & Cafe,Lyon,07 66 36 28 81,4.2,https://arcticjuicecafe.com/
Restaurant La Petite Lulu,Tignes,04 79 55 62 25,4.7,https://petitelulu-tignes.com/
Al Garage,Lisboa,21 191 9176,4.4,
Cantinho do Avillez - Cascais,Cascais,21 138 9666,4.4,https://www.cantinhodoavillez.pt/
Fortaleza do Guincho,Cascais,21 487 0491,4.7,http://www.fortalezadoguincho.com/
La Vita è Bella,Lisboa,21 346 0253,4,http://fullest.pt/restaurantes/la-vita-e-bella/
Cinnamon Club,,020 7222 2555,4.3,https://cinnamonclub.com/
Mona Verde Lisboa,Lisboa,914 023 304,4.7,http://www.monaexperience.com/
Sant' Eustachio Il Caffè,Roma,06 6880 2048,4.2,https://caffesanteustachio.com/
All’Antico Vinaio,Firenze,,4.6,https://www.allanticovinaio.com/
CH Otello Rooms I - Madrid,Madrid,910 05 41 72,3.7,
L'Astore Masseria,Cutrofiano,393 229 0830,4.7,http://www.lastoremasseria.it/
Maison,Lisboa,,,
Parcelles,Paris,01 43 37 91 64,4.6,https://www.parcelles-paris.fr/
Ristorante Grottino,Vila Nova de Gaia,22 374 5000,4.6,https://www.tripadvisor.pt/Restaurant_Review-g580268-d7772673-Reviews-Ristorante_Grottino-Vila_Nova_de_Gaia_Porto_District_Northern_Portugal.html
Martinucci Laboratory,Lecce,0832 309535,4.3,http://www.martinuccilaboratory.it/
Masseria Il Frantoio,,0831 330276,4.8,https://www.masseriailfrantoio.it/?utm_source=gbp&utm_medium=organic
Gelateria La Romana,Lisboa,21 593 0975,4.8,https://www.gelateriaromana.com/82-gelateria-lisboa.php
Nannarella,Lisboa,926 878 553,4.8,http://nannarella.pt/
Elle Effe Restaurant,Roma,06 4566 7792,4.5,https://elleeffe-restaurant.eatbu.com/
Borgo Antico Bistrot,Ostuni,0831 336475,4.4,
Osteria da Fortunata,Roma,06 6066 7391,4,https://www.osteriadafortunata.it/
Pizzeria Romana BIO,Lisboa,21 886 0055,4.6,https://www.romanapizza.it/
Osteria Del Tempo Perso,Ostuni,0831 304819,4.2,http://www.osteriadeltempoperso.com/
Osteria Ricanatti,Ostuni,0831 156 1831,4.7,
Nomade Ostuni,Pilone,347 457 0894,4,http://www.nomadeostuni.it/
Restaurante A Gina,Lisboa,21 342 0296,4.2,https://www.facebook.com/restauranteagina
Gustapizza,Firenze,055 285068,4.5,https://m.facebook.com/GustapizzaFirenze/
Ostro San Frediano,Firenze,055 281400,5,https://www.instagram.com/ostrosanfrediano/
Ristorante Pensavo Peggio,Firenze,055 230 2987,4.6,
Langosteria Café Milano,Milano,02 7601 8167,4.6,http://langosteria.com/
Garrafeira Estado d'Alma,Lisboa,21 410 5162,4.8,http://www.garrafeiraestadodalma.pt/
Delta The Coffee House Avenida da Liberdade,Lisboa,21 342 7351,4.3,
Enoteca LX,Lisboa,913 962 868,4.6,https://enotecalx.com/
Tannico Wine Bar,Milano,02 0994 6657,4.3,http://www.tannicowinebar.it/
Trattoria San Giacomo,Bellagio,031 950329,4.4,http://www.trattoriabellagio.it/
